ID,wikipedia,upvotes,title
1,https://en.wikipedia.org/wiki/The_Blood_Donor,8194,"TIL that after needing 13 liters of blood for a surgery at the age of 13, a man named James Harrison pledged to donate blood once he turned 18. It was discovered that his blood contained a rare antigen which cured Rhesus disease. He has donated blood a record 1,000 times and saved 2,000,000 lives. "
2,https://en.wikipedia.org/wiki/Endal,6920,"TIL that, after his disabled owner was struck by a car, 'Endal' the service dog pulled his unconscious owner into the recovery position, retrieved his mobile phone from beneath the car, fetched a blanket and covered him, and then ran to a nearby hotel to obtain help"
3,https://en.wikipedia.org/wiki/Alex_(parrot),6304,"TIL the first animal to ask an existential question was from a parrot named Alex. He asked what color he was, and learned that it was ""grey""."
4,https://en.wikipedia.org/wiki/Benjamin_Franklin,6195,"TIL that when Benjamin Franklin died in 1790, he willed the cities of Boston and Philadelphia $4,400 each, but with the stipulation that the money could not be spent for 200 years. By 1990 Boston's trust was worth over $5 million."
5,https://en.wikipedia.org/wiki/Vampire,6068,"TIL that vampire bats will die if they can't find blood for two nights in a row. Luckily, generous well-fed bats will often regurgitate blood to share with others, in exchange for grooming. This has been noted by many naturalists as an example of reciprocal altruism in nature."
6,https://en.wikipedia.org/wiki/Intelligence,5965,TIL it is illegal in many countries to perform surgical procedures on an octopus without anesthesia due to their intelligence
7,https://en.wikipedia.org/wiki/Bee,5803,"TIL Central American Stingless Bees have been cultivated by Mayans for thousands of years. The bees are regarded as pets and their hives hung in and around the home. Some hives have been recorded as lasting over 80 years, being passed down through generations."
8,https://en.wikipedia.org/wiki/$_(film),5359,TIL George Lucas allowed the band members of 'N SYNC to make a cameo appearance in Star Wars Episode II: Attack of the Clones in order to appease his daughters. The footage was then cut out of the final version of the film
9,https://en.wikipedia.org/wiki/Wax_bullet,5188,TIL that pistol dueling with wax bullets was a popular pastime in the early 20th century and even featured as a sport in the 1908 Summer Olympics
10,https://en.wikipedia.org/wiki/Assassination_of_James_A._Garfield,5172,TIL President Garfield's assassin chose an ivory-handled gun over a similar wooden-handled model because he knew it would look better in a museum exhibit.
11,https://en.wikipedia.org/wiki/The_Skydivers,5091,"TIL when skydiver Joan Murray's parachute failed, she approached the ground at 80 miles (128km) per hour, landing on a mound of fire ants. The shock from being stung over 200 times by the ants released a surge of adrenaline which kept her heart beating, and allowed her to survive."
12,https://en.wikipedia.org/wiki/California,5047,"TIL that in 1987, there were only 22 California Condors left on the planet. All of them were caught to help preserve the species, and now there are 435 birds, 237 of which are in the wild."
13,https://en.wikipedia.org/wiki/Pope,5036,"TIL one of the Popes was a 100% accident. In the Middle Ages, cardinals would often vote for a random candidate on the first papal ballot in order to see how the other cardinals were leaning, but in 1334 this backfired when they all voted for the same person: the very surprised Pope Benedict XII."
14,https://en.wikipedia.org/wiki/It_(novel),5005,"TIL a writer tested how hard it was for unknowns to get published by querying the National Book Award winning novel ""Steps"". All thirteen agents and fourteen publishers rejected it, including Random House, which had published the book but didn't recognize it."
15,https://en.wikipedia.org/wiki/Fiji_Water,4983,"TIL that Fiji water company ran the slogan ""Fiji, because it's not bottled in Cleveland"". The Cleveland water dept. Took offense, and ran a test determining that Fiji water has more impurities than the cities' tap water."
16,https://en.wikipedia.org/wiki/Monty_Python_and_the_Holy_Grail,4838,"TIL that the rabbit used in Monty Python and the Holy Grail was a real rabbit. Also, the crew used a red dye which they thought was washable, but then had to halt shooting while they desperately attempted to wash the dye off before the owner arrived."
17,https://en.wikipedia.org/wiki/Tin_Tins,4789,"TIL all of the tin produced in the US is recycled. The United States has neither mined tin since 1993 nor smelted tin since 1989, but it was the largest secondary producer, recycling nearly 14,000 tonnes in 2006."
18,https://en.wikipedia.org/wiki/Microsoft,4774,TIL The guy who snagged windows2000.com happened to be named Bob and Microsoft just happened to own Bob.com. They came to an agreement to trade one for the other.
19,https://en.wikipedia.org/wiki/Law,4770,"TIL Ants cannot be seriously injured from impact with the ground after being dropped from any height, because they don't have enough mass."
20,https://en.wikipedia.org/wiki/Poon_Lim,4712,"TIL Poon Kim holds the record for surviving adrift in a life raft at 133 days in 1942-43. When told no one had ever survived longer on a raft at sea, he replied, ""I hope no one will ever have to break that record."""
21,https://en.wikipedia.org/wiki/Audie_Murphy,4704,"TIL That despite being on hard times, One of the US most decorated war veterans repeatedly turned down offers to appear in Alcohol and Tobacco commercials because he knew it would be a bad role model for young people. The soldier, Audie Murphy, had won every single US Army Award for combat in WWII."
22,https://en.wikipedia.org/wiki/James_Cameron,4675,"TIL That after watching Star Wars for the first time in 1977, James Cameron quit his job as a truck driver to enter the film industry."
23,https://en.wikipedia.org/wiki/2005_Tour_de_France,4619,"TIL that  if officials awarded Lance Armstrong's 2005 Tour De France title to the next fastest finisher who has never been linked to doping, they'd have to give it to the 23rd place finisher"
24,https://en.wikipedia.org/wiki/Obsidian,4616,"TIL Obsidian can be made into a scalpel with a cutting edge of 3 nanometers. A strand of DNA is 2.5 nm, a sheet of paper 100,000 nm"
25,https://en.wikipedia.org/wiki/Jellyfish,4563,"TIL that a tiny (1sq. cm) transparent Australian jellyfish has venom delivering tentacles a metre long, and whose sting causes Irunkandji syndrome, which induces feelings of impending doom, severe pain, and cardiac arrest."
26,https://en.wikipedia.org/wiki/Potoooooooo,4513,"TIL there was a famous 18th century racehorse named Potoooooooo. His original name was Potatoes. Potatoes acquired the strange spelling of his nickname, Pot-8-Os, when a stable lad was asked to write it on a feed bin. The lad's version, Potoooooooo, was said to amuse his lordship so he kept it."
27,https://en.wikipedia.org/wiki/Where_the_Wild_Things_Are,4484,"TIL that ""Where the Wild Things Are"" was originally titled ""Land of the Wild Horses"" until the author Maurice Sendak realized that he couldn't draw horses and changed the name."
28,https://en.wikipedia.org/wiki/Run!,4420,"TIL that in 1993 Creedence Clearwater Revival's record label sued former lead singer John Fogerty because his song ""The Old Man Down the Road"" sounded similar to ""Run Through the Jungle."" Although Fogerty was awarded attorney fees, the judge found that ""an artist can't plagiarize himself."""
29,https://en.wikipedia.org/wiki/Pilot_(Lost),4412,TIL The pilot episode of LOST was so expensive (~$14million) that the network president was fired for greenlighting it.
30,https://en.wikipedia.org/wiki/Criticism_of_the_theory_of_relativity,4368,"TIL when Einstein was told of the publication of a book entitled, '100 Authors Against Einstein', he replied: ""Why one hundred? If I were wrong, one would have been enough."""
31,https://en.wikipedia.org/wiki/Scooby-Doo_(film),4362,"TIL that Tim Curry, who is an avid Scooby-Doo fan, was originally cast to be in the 2002 film Scooby-Doo, but dropped out when he learned that Scrappy Doo would be in the movie."
32,https://en.wikipedia.org/wiki/Futurama,4341,"TIL that the writing staff of Futurama held three Ph.D.s, seven masters degrees, and cumulatively had more than 50 years at Harvard"
33,https://en.wikipedia.org/wiki/D12,4326,"TIL that the band D12 planned to find the 12 best rappers of Detroit but found only 6, so they created alter-egos in order to have 12. That's when Eminem came up with Slim Shady"
34,https://en.wikipedia.org/wiki/Rail_transport_in_Japan,4318,"TIL That trains in Japan are so punctual, that if they are even 5 minutes late, the passengers get a formal apology, and most times they'll even get a ""delay certificate."" Delays that are over an hour will also appear on the news."
35,https://en.wikipedia.org/wiki/Pseudoscorpion,4299,"TIL that tiny pseudoscorpions (about 4mm) live inside old books, effectively protecting them by eating booklice and dustmites"
36,https://en.wikipedia.org/wiki/Nerd,4289,"TIL when a factory worker from Wonka was asked about the production of Nerds candy, he said ""Basically we start off with a sugar crystal and we just keep coating it with more sugar."""
37,https://en.wikipedia.org/wiki/Antwerp_Diamond_Heist,4248,"TIL a man stole $100 million in diamonds, bypassing a 100-million-combination lock, infrared sensors, seismic sensor, and private security force, but was convicted by DNA he'd left on a partially eaten sandwich near the scene."
38,https://en.wikipedia.org/wiki/Seinfeld,4243,"TIL That Larry David had quit his writing job at SNL midseason, only to show up to work a few days later acting as though nothing had happened."
39,https://en.wikipedia.org/wiki/Natural_nuclear_fission_reactor,4237,"TIL in 1972 a pocket of uranium in Africa was found to have undergone self-sustaining nuclear fission for over 100,000 years, making it the only known naturally formed nuclear reactor."
40,https://en.wikipedia.org/wiki/Mortal_Kombat,4213,"TIL that despite being one of the most successful fighting games of all time, ""Mortal Kombat"" only had a development team of four people."
41,https://en.wikipedia.org/wiki/Arthur_Conan_Doyle,4182,"TIL that Sir Arthur Conan Doyle, creator of Sherlock Holmes, helped get two falsely accused men out of prison after solving their previously closed cases."
42,https://en.wikipedia.org/wiki/Fred_Rogers,4179,"TIL that Mr Rodgers, when receiving his Lifetime Achievement Award at the 1997 Daytime Emmys, asked his audience to take ""ten seconds to think of the people who have helped you become who you are"", causing many to cry."
43,https://en.wikipedia.org/wiki/Land_mine,4176,"TIL Landmines planted on the coasts during the Falklands War accidentally created penguin sanctuaries. The penguins are too light to detonate the mines, so they live and breed safely. The sanctuaries are so popular and profitable that there are efforts to prevent removal of the mines."
44,https://en.wikipedia.org/wiki/Copyright_Term_Extension_Act,4140,TIL Disney successfully lobbied Congress to extend the length of copyright protection in order to prevent Mickey Mouse from entering the public domain. The law was later referred to as the Mickey Mouse Protection Act
45,https://en.wikipedia.org/wiki/Albert_Einstein,4103,"TIL that Einstein was stopped so much in public, he would reply, ""Pardon me, sorry! Always I am mistaken for Professor Einstein."""
46,https://en.wikipedia.org/wiki/Hoover_Dam,4085,"TIL that the Hoover Dam is expected to be one of the last remaining visible structures from our species, and it contains a star map that if no other means were available, could be used to determine the exact date on which Hoover Dam was completed."
47,https://en.wikipedia.org/wiki/British_Army,4071,"TIL that in 1787 a man was hanged for deserting and re-enlisting in the British Army 47 times, in order to get the large bounty obtained upon joining the army."
48,https://en.wikipedia.org/wiki/Bob_Marley,4052,"TIL that before a concert to ease violent tensions in Jamaica, Bob Marley was shot. He went on to perform, injured, stating that, ""The people who are trying to make this world worse aren't taking a day off. How can I?"""
49,https://en.wikipedia.org/wiki/Robert_Hanssen,4048,"TIL that in 1997, four years before being arrested for spying for the KGB, Robert Hanssen was caught using a password cracker on a federal computer. When asked about this, he said that he was simply trying to install a color printer, and so he needed the administrator password. They believed him."
50,https://en.wikipedia.org/wiki/Batman,4045,"TIL Michael Keaton refused 15,000,000 to play Batman Forever because Tim Burton was dropped as its director."
51,https://en.wikipedia.org/wiki/Bill_Nye,4037,TIL Bill Nye went from an engineering position at Boeing to a job as a comedian before ultimately becoming the Science Guy
52,https://en.wikipedia.org/wiki/Lenovo,4036,"TIL Yang (Lenovo's CEO) received a $3 million bonus as a reward for record profits, which he in-turn redistributed to about 10,000 of Lenovo's employees. He did same thing again in 2013."
